,closed_c
2014-07-21 16:00:00,40.5
2014-07-21 17:00:00,39.4
2014-07-21 18:00:00,34.5
2014-07-21 20:00:00,21.8
2014-07-21 22:00:00,21.8
2014-07-21 23:00:00,21.6
2014-07-22 00:00:00,18.0
2014-07-22 01:00:00,18.0
2014-07-22 02:00:00,18.5
2014-07-22 03:00:00,18.5
2014-07-22 04:00:00,21.6
2014-07-22 05:00:00,30.3
2014-07-22 07:00:00,33.2
2014-07-22 08:00:00,36.7
2014-07-22 09:00:00,36.9
2014-07-22 10:00:00,37.9
2014-07-22 11:00:00,41.3
2014-07-22 14:00:00,42.9
2014-07-22 15:00:00,44.9
2014-07-22 16:00:00,45.5
2014-07-22 17:00:00,45.5
2014-07-22 18:00:00,37.2
2014-07-22 19:00:00,25.0
2014-07-22 21:00:00,23.1
2014-07-22 22:00:00,17.7
2014-07-23 01:00:00,17.7
2014-07-23 02:00:00,17.2
2014-07-23 03:00:00,14.6
2014-07-23 04:00:00,13.7
2014-07-23 05:00:00,14.6
2014-07-23 06:00:00,22.8
2014-07-23 07:00:00,23.9
2014-07-23 08:00:00,24.4
2014-07-23 09:00:00,26.4
2014-07-23 10:00:00,35.5
2014-07-23 11:00:00,42.4
2014-07-23 12:00:00,42.4
2014-07-23 13:00:00,41.5
2014-07-23 14:00:00,37.3
2014-07-23 16:00:00,36.0
2014-07-23 17:00:00,30.1
2014-07-23 18:00:00,29.2
2014-07-23 19:00:00,26.5
2014-07-23 20:00:00,26.5
2014-07-23 21:00:00,29.9
2014-07-23 23:00:00,29.9
2014-07-24 01:00:00,12.8
2014-07-24 03:00:00,12.8
2014-07-24 04:00:00,19.2
2014-07-24 06:00:00,39.9
2014-07-24 09:00:00,43.8
2014-07-24 11:00:00,43.8
2014-07-24 12:00:00,41.4
2014-07-24 14:00:00,41.4
2014-07-24 15:00:00,44.3
2014-07-24 16:00:00,44.3
2014-07-24 17:00:00,41.3
2014-07-24 18:00:00,38.2
2014-07-24 19:00:00,35.1
2014-07-24 21:00:00,30.2
2014-07-24 22:00:00,28.0
2014-07-25 00:00:00,28.0
2014-07-25 01:00:00,29.1
2014-07-25 02:00:00,29.1
2014-07-25 03:00:00,25.0
2014-07-25 04:00:00,25.0
2014-07-25 05:00:00,35.8
2014-07-25 09:00:00,46.6
