,Open Conc.,O3_ppb
2014-07-21 14:00:00,,28.7
2014-07-21 15:00:00,44.2,26.6
2014-07-21 16:00:00,41.5,37.4
2014-07-21 17:00:00,43.5,43.3
2014-07-21 18:00:00,41.5,40.2
2014-07-21 20:00:00,24.8,6.9
2014-07-21 22:00:00,24.6,13.2
2014-07-21 23:00:00,21.5,18.0
2014-07-22 00:00:00,16.9,10.9
2014-07-22 01:00:00,16.9,11.3
2014-07-22 02:00:00,16.9,10.9
2014-07-22 03:00:00,15.2,23.0
2014-07-22 04:00:00,17.0,21.4
2014-07-22 05:00:00,20.3,27.2
2014-07-22 07:00:00,36.3,17.2
2014-07-22 08:00:00,40.1,30.1
2014-07-22 09:00:00,40.8,28.6
2014-07-22 10:00:00,45.1,38.1
2014-07-22 11:00:00,46.5,43.5
2014-07-22 14:00:00,47.1,40.1
2014-07-22 15:00:00,50.1,45.9
2014-07-22 16:00:00,47.1,41.8
2014-07-22 17:00:00,46.1,50.3
2014-07-22 18:00:00,42.9,56.4
2014-07-22 19:00:00,25.9,53.6
2014-07-22 21:00:00,18.1,19.6
2014-07-22 22:00:00,23.8,25.3
2014-07-23 01:00:00,23.8,24.6
2014-07-23 02:00:00,23.8,32.4
2014-07-23 03:00:00,21.6,26.7
2014-07-23 04:00:00,21.0,20.2
2014-07-23 05:00:00,21.6,6.9
2014-07-23 06:00:00,24.0,8.4
2014-07-23 07:00:00,24.0,14.8
2014-07-23 08:00:00,28.5,24.2
2014-07-23 09:00:00,28.5,29.5
2014-07-23 10:00:00,35.0,32.6
2014-07-23 11:00:00,38.6,34.8
2014-07-23 12:00:00,40.0,39.6
2014-07-23 13:00:00,38.6,49.6
2014-07-23 14:00:00,33.6,53.4
2014-07-23 16:00:00,25.0,48.2
2014-07-23 17:00:00,25.0,49.2
2014-07-23 18:00:00,22.8,36.6
2014-07-23 19:00:00,25.0,30.6
2014-07-23 20:00:00,25.0,34.5
2014-07-23 21:00:00,25.6,38.0
2014-07-23 23:00:00,25.6,25.5
2014-07-24 01:00:00,18.9,9.1
2014-07-24 03:00:00,18.9,16.8
2014-07-24 04:00:00,23.4,20.4
2014-07-24 06:00:00,39.5,6.7
2014-07-24 09:00:00,42.7,38.3
2014-07-24 11:00:00,42.7,29.1
2014-07-24 12:00:00,40.3,31.5
2014-07-24 14:00:00,40.3,38.3
2014-07-24 15:00:00,41.1,41.5
2014-07-24 16:00:00,41.7,54.9
2014-07-24 17:00:00,41.1,47.8
2014-07-24 18:00:00,36.1,54.7
2014-07-24 19:00:00,32.7,31.5
2014-07-24 21:00:00,31.3,40.3
2014-07-24 22:00:00,25.9,38.3
2014-07-25 00:00:00,25.7,36.3
2014-07-25 01:00:00,25.5,27.7
2014-07-25 02:00:00,25.4,26.1
2014-07-25 03:00:00,24.4,31.5
2014-07-25 04:00:00,24.4,19.0
2014-07-25 05:00:00,31.5,10.2
2014-07-25 09:00:00,42.0,16.6
